slug,title,image_type,description,licensing_note
airway-mindset,Airway Mindset in the Emergency Department,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
oxygenation-vs-ventilation,Oxygenation vs Ventilation,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
basic-airway-maneuvers,Basic Airway Maneuvers,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
bvm-thinking-and-mask-seal,BVM Thinking and Mask Seal,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
preoxygenation-denitrogenation,Preoxygenation and Denitrogenation,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
apneic-oxygenation,Apneic Oxygenation,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
difficult-airway-prediction,Difficult Airway Prediction,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
rsi-overview,RSI Overview,RSI medication/sequence card,"Original infographic showing medication role, caution, and verification status.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
post-intubation-confirmation,Post-Intubation Confirmation,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
ventilator-first-look,Ventilator First Look,Ventilator waveform / settings schematic,"Simple original schematic: ventilator mode/settings panel, pressure/flow waveform, or alarm workflow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
need-for-artificial-airway,Need for an Artificial Airway,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
airway-protection-not-gag-reflex,Airway Protection: Not Just the Gag Reflex,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
patient-positioning-airway-success,Patient Positioning for Airway Success,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
oral-nasal-airway-adjuncts,Oral and Nasal Airway Adjuncts,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
suction-contaminated-airway,Suction and the Contaminated Airway,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
two-person-bvm-rescue,Two-Person BVM Rescue,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
supraglottic-airway-devices,Supraglottic Airway Devices,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
adult-front-of-neck-access,Adult Front-of-Neck Access Concept,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
pediatric-airway-differences,Pediatric Airway Differences,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
obese-airway-ramping,Obese Airway and Ramping,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
seven-ps-of-rsi,The 7 Ps of RSI,RSI medication/sequence card,"Original infographic showing medication role, caution, and verification status.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
indications-for-intubation,Indications for Intubation,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
pre-intubation-optimization,Pre-Intubation Optimization,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
preoxygenation-methods,Preoxygenation Methods,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
etomidate-for-rsi,Etomidate for RSI,RSI medication/sequence card,"Original infographic showing medication role, caution, and verification status.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
ketamine-for-rsi-dsi,Ketamine for RSI and DSI,RSI medication/sequence card,"Original infographic showing medication role, caution, and verification status.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
propofol-airway-sedation,Propofol in Airway and Sedation,RSI medication/sequence card,"Original infographic showing medication role, caution, and verification status.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
fentanyl-airway-sedation,Fentanyl in Airway and Sedation,RSI medication/sequence card,"Original infographic showing medication role, caution, and verification status.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
succinylcholine-rsi,Succinylcholine for RSI,RSI medication/sequence card,"Original infographic showing medication role, caution, and verification status.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
rocuronium-rsi,Rocuronium for RSI,RSI medication/sequence card,"Original infographic showing medication role, caution, and verification status.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
post-intubation-sedation-analgesia,Post-Intubation Sedation and Analgesia,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
delayed-sequence-intubation,Delayed Sequence Intubation Concept,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
crash-airway,Crash Airway,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
awake-intubation-concept,Awake Intubation Concept,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
failed-airway-algorithm-draft,Failed Airway Algorithm Draft,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
cannot-intubate-cannot-oxygenate,Cannot Intubate Cannot Oxygenate,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
aspiration-risk-airway,Aspiration Risk During Airway Management,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
trauma-airway,Trauma Airway,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
burns-inhalation-airway,Burns and Inhalation Airway,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
angioedema-anaphylaxis-airway,Angioedema and Anaphylaxis Airway,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
massive-hemoptysis-airway,Massive Hemoptysis Airway,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
positive-pressure-ventilation-physiology,Positive-Pressure Ventilation Physiology,Ventilator waveform / settings schematic,"Simple original schematic: ventilator mode/settings panel, pressure/flow waveform, or alarm workflow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
initial-ventilator-settings-draft,Initial Ventilator Settings Draft,Ventilator waveform / settings schematic,"Simple original schematic: ventilator mode/settings panel, pressure/flow waveform, or alarm workflow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
assist-control-volume-control,Assist-Control Volume Control,Ventilator waveform / settings schematic,"Simple original schematic: ventilator mode/settings panel, pressure/flow waveform, or alarm workflow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
assist-control-pressure-control,Assist-Control Pressure Control,Ventilator waveform / settings schematic,"Simple original schematic: ventilator mode/settings panel, pressure/flow waveform, or alarm workflow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
pressure-support-ventilation,Pressure Support Ventilation,Ventilator waveform / settings schematic,"Simple original schematic: ventilator mode/settings panel, pressure/flow waveform, or alarm workflow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
simv-basics,SIMV Basics,Ventilator waveform / settings schematic,"Simple original schematic: ventilator mode/settings panel, pressure/flow waveform, or alarm workflow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
cpap-vs-bipap-nppv,CPAP vs BiPAP/NPPV,Ventilator waveform / settings schematic,"Simple original schematic: ventilator mode/settings panel, pressure/flow waveform, or alarm workflow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
peep-and-fio2-logic,PEEP and FiO2 Logic,Ventilator waveform / settings schematic,"Simple original schematic: ventilator mode/settings panel, pressure/flow waveform, or alarm workflow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
ards-lung-protective-ventilation,ARDS Lung-Protective Ventilation,Ventilator waveform / settings schematic,"Simple original schematic: ventilator mode/settings panel, pressure/flow waveform, or alarm workflow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
asthma-copd-ventilation,Asthma/COPD Ventilation,Ventilator waveform / settings schematic,"Simple original schematic: ventilator mode/settings panel, pressure/flow waveform, or alarm workflow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
metabolic-acidosis-intubation-danger,Metabolic Acidosis and Intubation Danger,Ventilator waveform / settings schematic,"Simple original schematic: ventilator mode/settings panel, pressure/flow waveform, or alarm workflow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
high-pressure-alarm-approach,High-Pressure Alarm Approach,Ventilator waveform / settings schematic,"Simple original schematic: ventilator mode/settings panel, pressure/flow waveform, or alarm workflow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
low-pressure-alarm-approach,Low-Pressure Alarm Approach,Ventilator waveform / settings schematic,"Simple original schematic: ventilator mode/settings panel, pressure/flow waveform, or alarm workflow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
sudden-desaturation-ventilator,Sudden Desaturation on the Ventilator,Ventilator waveform / settings schematic,"Simple original schematic: ventilator mode/settings panel, pressure/flow waveform, or alarm workflow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
auto-peep-breath-stacking,Auto-PEEP and Breath Stacking,Ventilator waveform / settings schematic,"Simple original schematic: ventilator mode/settings panel, pressure/flow waveform, or alarm workflow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
ventilator-asynchrony,Ventilator Asynchrony,Ventilator waveform / settings schematic,"Simple original schematic: ventilator mode/settings panel, pressure/flow waveform, or alarm workflow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
post-intubation-hypotension-airway,Post-Intubation Hypotension,Ventilator waveform / settings schematic,"Simple original schematic: ventilator mode/settings panel, pressure/flow waveform, or alarm workflow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
hyperoxia-after-intubation,Hyperoxia After Intubation,Ventilator waveform / settings schematic,"Simple original schematic: ventilator mode/settings panel, pressure/flow waveform, or alarm workflow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
capnography-on-ventilator,Capnography on the Ventilator,Ventilator waveform / settings schematic,"Simple original schematic: ventilator mode/settings panel, pressure/flow waveform, or alarm workflow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
extubation-weaning-readiness-concept,Extubation and Weaning Readiness Concept,Ventilator waveform / settings schematic,"Simple original schematic: ventilator mode/settings panel, pressure/flow waveform, or alarm workflow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
