id,title,image_type,brief,copyright_status
epinephrine,Epinephrine,educational schematic card,"Create a clean SEG-style educational card for Epinephrine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
norepinephrine,Norepinephrine,educational schematic card,"Create a clean SEG-style educational card for Norepinephrine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
dopamine,Dopamine,educational schematic card,"Create a clean SEG-style educational card for Dopamine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
dobutamine,Dobutamine,educational schematic card,"Create a clean SEG-style educational card for Dobutamine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
vasopressin,Vasopressin,educational schematic card,"Create a clean SEG-style educational card for Vasopressin showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
phenylephrine,Phenylephrine,educational schematic card,"Create a clean SEG-style educational card for Phenylephrine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
adenosine,Adenosine,educational schematic card,"Create a clean SEG-style educational card for Adenosine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
amiodarone,Amiodarone,educational schematic card,"Create a clean SEG-style educational card for Amiodarone showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
lidocaine,Lidocaine,educational schematic card,"Create a clean SEG-style educational card for Lidocaine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
atropine,Atropine,educational schematic card,"Create a clean SEG-style educational card for Atropine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
magnesium-sulfate,Magnesium Sulfate,educational schematic card,"Create a clean SEG-style educational card for Magnesium Sulfate showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
calcium-gluconate,Calcium Gluconate,educational schematic card,"Create a clean SEG-style educational card for Calcium Gluconate showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
calcium-chloride,Calcium Chloride,educational schematic card,"Create a clean SEG-style educational card for Calcium Chloride showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
sodium-bicarbonate,Sodium Bicarbonate,educational schematic card,"Create a clean SEG-style educational card for Sodium Bicarbonate showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
nitroglycerin,Nitroglycerin,educational schematic card,"Create a clean SEG-style educational card for Nitroglycerin showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
aspirin,Aspirin,educational schematic card,"Create a clean SEG-style educational card for Aspirin showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
unfractionated-heparin,Unfractionated Heparin,educational schematic card,"Create a clean SEG-style educational card for Unfractionated Heparin showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
enoxaparin,Enoxaparin,educational schematic card,"Create a clean SEG-style educational card for Enoxaparin showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
alteplase-tpa,Alteplase (tPA),educational schematic card,"Create a clean SEG-style educational card for Alteplase (tPA) showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
tenecteplase,Tenecteplase,educational schematic card,"Create a clean SEG-style educational card for Tenecteplase showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
streptokinase,Streptokinase,educational schematic card,"Create a clean SEG-style educational card for Streptokinase showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
tranexamic-acid,Tranexamic Acid,educational schematic card,"Create a clean SEG-style educational card for Tranexamic Acid showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
ketamine,Ketamine,educational schematic card,"Create a clean SEG-style educational card for Ketamine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
etomidate,Etomidate,educational schematic card,"Create a clean SEG-style educational card for Etomidate showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
propofol,Propofol,educational schematic card,"Create a clean SEG-style educational card for Propofol showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
midazolam,Midazolam,educational schematic card,"Create a clean SEG-style educational card for Midazolam showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
lorazepam,Lorazepam,educational schematic card,"Create a clean SEG-style educational card for Lorazepam showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
diazepam,Diazepam,educational schematic card,"Create a clean SEG-style educational card for Diazepam showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
fentanyl,Fentanyl,educational schematic card,"Create a clean SEG-style educational card for Fentanyl showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
morphine,Morphine,educational schematic card,"Create a clean SEG-style educational card for Morphine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
hydromorphone,Hydromorphone,educational schematic card,"Create a clean SEG-style educational card for Hydromorphone showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
ketorolac,Ketorolac,educational schematic card,"Create a clean SEG-style educational card for Ketorolac showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
acetaminophen,Acetaminophen,educational schematic card,"Create a clean SEG-style educational card for Acetaminophen showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
succinylcholine,Succinylcholine,educational schematic card,"Create a clean SEG-style educational card for Succinylcholine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
rocuronium,Rocuronium,educational schematic card,"Create a clean SEG-style educational card for Rocuronium showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
vecuronium,Vecuronium,educational schematic card,"Create a clean SEG-style educational card for Vecuronium showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
sugammadex,Sugammadex,educational schematic card,"Create a clean SEG-style educational card for Sugammadex showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
albuterol-salbutamol,Albuterol / Salbutamol,educational schematic card,"Create a clean SEG-style educational card for Albuterol / Salbutamol showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
ipratropium,Ipratropium,educational schematic card,"Create a clean SEG-style educational card for Ipratropium showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
nebulized-epinephrine,Nebulized Epinephrine,educational schematic card,"Create a clean SEG-style educational card for Nebulized Epinephrine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
methylprednisolone,Methylprednisolone,educational schematic card,"Create a clean SEG-style educational card for Methylprednisolone showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
dexamethasone,Dexamethasone,educational schematic card,"Create a clean SEG-style educational card for Dexamethasone showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
regular-insulin,Regular Insulin,educational schematic card,"Create a clean SEG-style educational card for Regular Insulin showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
dextrose,Dextrose,educational schematic card,"Create a clean SEG-style educational card for Dextrose showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
glucagon,Glucagon,educational schematic card,"Create a clean SEG-style educational card for Glucagon showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
hydrocortisone,Hydrocortisone,educational schematic card,"Create a clean SEG-style educational card for Hydrocortisone showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
potassium-chloride,Potassium Chloride,educational schematic card,"Create a clean SEG-style educational card for Potassium Chloride showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
furosemide,Furosemide,educational schematic card,"Create a clean SEG-style educational card for Furosemide showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
mannitol,Mannitol,educational schematic card,"Create a clean SEG-style educational card for Mannitol showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
hypertonic-saline,Hypertonic Saline,educational schematic card,"Create a clean SEG-style educational card for Hypertonic Saline showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
levetiracetam,Levetiracetam,educational schematic card,"Create a clean SEG-style educational card for Levetiracetam showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
fosphenytoin-phenytoin,Fosphenytoin / Phenytoin,educational schematic card,"Create a clean SEG-style educational card for Fosphenytoin / Phenytoin showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
valproate,Valproate,educational schematic card,"Create a clean SEG-style educational card for Valproate showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
ceftriaxone,Ceftriaxone,educational schematic card,"Create a clean SEG-style educational card for Ceftriaxone showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
cefepime,Cefepime,educational schematic card,"Create a clean SEG-style educational card for Cefepime showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
piperacillin-tazobactam,Piperacillin-Tazobactam,educational schematic card,"Create a clean SEG-style educational card for Piperacillin-Tazobactam showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
vancomycin,Vancomycin,educational schematic card,"Create a clean SEG-style educational card for Vancomycin showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
meropenem,Meropenem,educational schematic card,"Create a clean SEG-style educational card for Meropenem showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
azithromycin,Azithromycin,educational schematic card,"Create a clean SEG-style educational card for Azithromycin showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
doxycycline,Doxycycline,educational schematic card,"Create a clean SEG-style educational card for Doxycycline showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
metronidazole,Metronidazole,educational schematic card,"Create a clean SEG-style educational card for Metronidazole showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
acyclovir,Acyclovir,educational schematic card,"Create a clean SEG-style educational card for Acyclovir showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
naloxone,Naloxone,educational schematic card,"Create a clean SEG-style educational card for Naloxone showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
n-acetylcysteine,N-Acetylcysteine,educational schematic card,"Create a clean SEG-style educational card for N-Acetylcysteine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
activated-charcoal,Activated Charcoal,educational schematic card,"Create a clean SEG-style educational card for Activated Charcoal showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
pralidoxime,Pralidoxime,educational schematic card,"Create a clean SEG-style educational card for Pralidoxime showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
fomepizole,Fomepizole,educational schematic card,"Create a clean SEG-style educational card for Fomepizole showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
methylene-blue,Methylene Blue,educational schematic card,"Create a clean SEG-style educational card for Methylene Blue showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
hydroxocobalamin,Hydroxocobalamin,educational schematic card,"Create a clean SEG-style educational card for Hydroxocobalamin showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
digoxin-immune-fab,Digoxin Immune Fab,educational schematic card,"Create a clean SEG-style educational card for Digoxin Immune Fab showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
deferoxamine,Deferoxamine,educational schematic card,"Create a clean SEG-style educational card for Deferoxamine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
