id,title,category,recommended_visual,must_avoid
stemi-omi-chest-pain,STEMI / OMI Chest Pain,chest-pain,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for STEMI / OMI Chest Pain,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
aortic-dissection-mimicking-acs,Aortic Dissection Mimicking ACS,chest-pain,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Aortic Dissection Mimicking ACS,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
pulmonary-embolism-chest-pain,Pulmonary Embolism Chest Pain,chest-pain,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Pulmonary Embolism Chest Pain,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
pericarditis-vs-cardiac-tamponade,Pericarditis vs Cardiac Tamponade,chest-pain,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Pericarditis vs Cardiac Tamponade,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
esophageal-rupture-after-vomiting,Esophageal Rupture After Vomiting,chest-pain,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Esophageal Rupture After Vomiting,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
tension-pneumothorax-chest-pain,Tension Pneumothorax Chest Pain,chest-pain,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Tension Pneumothorax Chest Pain,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
severe-asthma-near-respiratory-failure,Severe Asthma Near Respiratory Failure,dyspnea,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Severe Asthma Near Respiratory Failure,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
copd-exacerbation-with-hypercapnia,COPD Exacerbation with Hypercapnia,dyspnea,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for COPD Exacerbation with Hypercapnia,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
acute-pulmonary-edema,Acute Pulmonary Edema,dyspnea,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Acute Pulmonary Edema,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
pneumonia-with-sepsis,Pneumonia with Sepsis,dyspnea,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Pneumonia with Sepsis,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
anaphylaxis-with-airway-threat,Anaphylaxis with Airway Threat,dyspnea,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Anaphylaxis with Airway Threat,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
carbon-monoxide-exposure,Carbon Monoxide Exposure,dyspnea,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Carbon Monoxide Exposure,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
upper-airway-obstruction,Upper Airway Obstruction,dyspnea,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Upper Airway Obstruction,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
undifferentiated-shock,Undifferentiated Shock,shock,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Undifferentiated Shock,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
septic-shock,Septic Shock,shock,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Septic Shock,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
hemorrhagic-trauma-shock,Hemorrhagic Trauma Shock,shock,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Hemorrhagic Trauma Shock,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
cardiogenic-shock,Cardiogenic Shock,shock,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Cardiogenic Shock,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
obstructive-shock-from-tamponade,Obstructive Shock from Tamponade,shock,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Obstructive Shock from Tamponade,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
anaphylactic-shock,Anaphylactic Shock,shock,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Anaphylactic Shock,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
adrenal-crisis,Adrenal Crisis,shock,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Adrenal Crisis,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
hypoglycemia-altered-mental-status,Hypoglycemia Altered Mental Status,altered-mental-status,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Hypoglycemia Altered Mental Status,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
acute-ischemic-stroke,Acute Ischemic Stroke,altered-mental-status,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Acute Ischemic Stroke,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
intracranial-hemorrhage,Intracranial Hemorrhage,altered-mental-status,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Intracranial Hemorrhage,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
status-epilepticus,Status Epilepticus,altered-mental-status,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Status Epilepticus,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
meningitis-encephalitis,Meningitis / Encephalitis,altered-mental-status,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Meningitis / Encephalitis,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
sepsis-delirium-in-elderly,Sepsis Delirium in Elderly,altered-mental-status,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Sepsis Delirium in Elderly,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
hyponatremic-seizure,Hyponatremic Seizure,altered-mental-status,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Hyponatremic Seizure,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
heat-stroke,Heat Stroke,altered-mental-status,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Heat Stroke,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
opioid-overdose,Opioid Overdose,toxicology,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Opioid Overdose,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
tca-sodium-channel-blocker-overdose,TCA / Sodium Channel Blocker Overdose,toxicology,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for TCA / Sodium Channel Blocker Overdose,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
salicylate-toxicity,Salicylate Toxicity,toxicology,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Salicylate Toxicity,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
acetaminophen-overdose,Acetaminophen Overdose,toxicology,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Acetaminophen Overdose,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
organophosphate-poisoning,Organophosphate Poisoning,toxicology,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Organophosphate Poisoning,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
methanol-ethylene-glycol-toxic-alcohol,Methanol / Ethylene Glycol Toxic Alcohol,toxicology,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Methanol / Ethylene Glycol Toxic Alcohol,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
cyanide-toxicity-in-smoke-inhalation,Cyanide Toxicity in Smoke Inhalation,toxicology,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Cyanide Toxicity in Smoke Inhalation,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
serotonin-syndrome,Serotonin Syndrome,toxicology,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Serotonin Syndrome,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
lithium-toxicity,Lithium Toxicity,toxicology,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Lithium Toxicity,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
ventricular-fibrillation-arrest,Ventricular Fibrillation Arrest,ecg,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Ventricular Fibrillation Arrest,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
pulseless-ventricular-tachycardia,Pulseless Ventricular Tachycardia,ecg,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Pulseless Ventricular Tachycardia,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
complete-heart-block-with-instability,Complete Heart Block with Instability,ecg,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Complete Heart Block with Instability,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
hyperkalemia-ecg-collapse,Hyperkalemia ECG Collapse,ecg,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Hyperkalemia ECG Collapse,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
wide-complex-tachycardia-stable-vs-unstable,Wide Complex Tachycardia Stable vs Unstable,ecg,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Wide Complex Tachycardia Stable vs Unstable,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
wellens-pattern-after-pain-resolves,Wellens Pattern After Pain Resolves,ecg,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Wellens Pattern After Pain Resolves,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
brugada-syncope,Brugada Syncope,ecg,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Brugada Syncope,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
primary-survey-polytrauma,Primary Survey Polytrauma,trauma,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Primary Survey Polytrauma,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
head-injury-on-anticoagulants,Head Injury on Anticoagulants,trauma,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Head Injury on Anticoagulants,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
flail-chest-pulmonary-contusion,Flail Chest / Pulmonary Contusion,trauma,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Flail Chest / Pulmonary Contusion,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
blunt-abdominal-trauma,Blunt Abdominal Trauma,trauma,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Blunt Abdominal Trauma,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
pelvic-fracture-hemorrhage,Pelvic Fracture Hemorrhage,trauma,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Pelvic Fracture Hemorrhage,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
burns-with-inhalation-injury,Burns with Inhalation Injury,trauma,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Burns with Inhalation Injury,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
febrile-infant,Febrile Infant,pediatrics,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Febrile Infant,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
pediatric-respiratory-distress,Pediatric Respiratory Distress,pediatrics,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Pediatric Respiratory Distress,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
pediatric-dehydration,Pediatric Dehydration,pediatrics,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Pediatric Dehydration,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
pediatric-seizure,Pediatric Seizure,pediatrics,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Pediatric Seizure,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
child-abuse-red-flags,Child Abuse Red Flags,pediatrics,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Child Abuse Red Flags,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
ectopic-pregnancy,Ectopic Pregnancy,obgyn,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Ectopic Pregnancy,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
preeclampsia-eclampsia,Preeclampsia / Eclampsia,obgyn,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Preeclampsia / Eclampsia,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
postpartum-hemorrhage,Postpartum Hemorrhage,obgyn,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Postpartum Hemorrhage,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
ovarian-torsion,Ovarian Torsion,obgyn,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Ovarian Torsion,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
septic-abortion,Septic Abortion,obgyn,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Septic Abortion,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
trauma-in-pregnancy,Trauma in Pregnancy,obgyn,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Trauma in Pregnancy,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
crashing-airway,Crashing Airway,airway-procedures,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Crashing Airway,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
post-intubation-hypotension,Post-Intubation Hypotension,airway-procedures,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Post-Intubation Hypotension,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
procedural-sedation-complication,Procedural Sedation Complication,airway-procedures,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Procedural Sedation Complication,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
dka-hhs-crisis,DKA / HHS Crisis,shock,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for DKA / HHS Crisis,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
unstable-angina-nstemi,Unstable Angina / NSTEMI,chest-pain,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Unstable Angina / NSTEMI,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
pulmonary-embolism-with-syncope,Pulmonary Embolism with Syncope,dyspnea,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Pulmonary Embolism with Syncope,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
undifferentiated-coma,Undifferentiated Coma,altered-mental-status,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Undifferentiated Coma,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
spinal-cord-injury,Spinal Cord Injury,trauma,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Spinal Cord Injury,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
pediatric-sepsis,Pediatric Sepsis,pediatrics,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Pediatric Sepsis,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
cannot-intubate-cannot-oxygenate,Cannot Intubate Cannot Oxygenate,airway-procedures,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Cannot Intubate Cannot Oxygenate,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
